center,n_neighbors,n_events,n_m4_shallow,n_models
BLOW,13,71128,371,378
CHUN,18,14476,168,988
DCHU,28,23923,249,3683
DNFU,15,28440,220,576
FLNM,15,31012,248,576
FONB,17,21868,211,834
FUDN,26,22148,213,2952
HUAL,15,51501,465,576
HUAP,9,93716,369,130
JPEI,17,18678,181,834
JPIN,25,17379,203,2626
JSU2,17,16269,179,834
JULI,25,16814,167,2626
KNKO,17,12346,175,834
NDHU,15,40878,382,576
SCHN,12,76169,553,299
SHUL,15,33438,294,576
SICH,12,76173,555,299
SLIN,14,31253,271,470
SOFN,14,39194,369,470
SPAO,13,42690,125,378
TUNM,15,39104,355,576
WARO,14,31235,271,470
YENL,14,40541,412,470
YUL1,27,18323,165,3304
