center,n_seeds,"P[1,1]_mean","P[1,1]_std","P[1,1]","P[2,1]_mean","P[2,1]_std","P[2,1]","P[2,2]_mean","P[2,2]_std","P[2,2]",has_prediction
BLOW,5,0.32331666350364685,0.026316924020648003,0.323 ± 0.026,0.33148127794265747,0.02347639761865139,0.331 ± 0.023,0.3417423665523529,0.012583211995661259,0.342 ± 0.013,True
CHUN,5,0.24173548817634583,0.06499461829662323,0.242 ± 0.065,0.5591642260551453,0.12596257030963898,0.559 ± 0.126,0.595438539981842,0.056770455092191696,0.595 ± 0.057,True
DCHU,5,0.04862155392765999,0.07379835844039917,0.049 ± 0.074,0.38227519392967224,0.020545944571495056,0.382 ± 0.021,0.5721108913421631,0.008164753206074238,0.572 ± 0.008,True
DNFU,5,0.43693122267723083,0.03213278576731682,0.437 ± 0.032,0.46880215406417847,0.03536878153681755,0.469 ± 0.035,0.5540822148323059,0.012201187200844288,0.554 ± 0.012,True
FLNM,5,0.4486015737056732,0.043542079627513885,0.449 ± 0.044,0.47199732065200806,0.03757692500948906,0.472 ± 0.038,0.5262427926063538,0.04494762793183327,0.526 ± 0.045,True
FONB,5,0.3958145081996918,0.04695887118577957,0.396 ± 0.047,0.4425794184207916,0.013283593580126762,0.443 ± 0.013,0.5072137117385864,0.03707565739750862,0.507 ± 0.037,True
FUDN,5,0.03004329279065132,0.024843508377671242,0.030 ± 0.025,0.3760646879673004,0.011098044924438,0.376 ± 0.011,0.5911850929260254,0.034699711948633194,0.591 ± 0.035,True
HUAL,5,0.15163666009902954,0.011558274738490582,0.152 ± 0.012,0.4486966133117676,0.016484025865793228,0.449 ± 0.016,0.43376725912094116,0.04896862432360649,0.434 ± 0.049,True
HUAP,5,0.3674449920654297,0.0041694422252476215,0.367 ± 0.004,0.4144212305545807,0.011934827081859112,0.414 ± 0.012,0.5254501700401306,0.006107257213443518,0.525 ± 0.006,True
JPEI,5,0.49740704894065857,0.06425458937883377,0.497 ± 0.064,0.5273115038871765,0.023562289774417877,0.527 ± 0.024,0.70368492603302,0.06600112468004227,0.704 ± 0.066,True
JPIN,5,0.11413364112377167,0.05844804644584656,0.114 ± 0.058,0.671840488910675,0.05789768695831299,0.672 ± 0.058,0.6952029466629028,0.043944574892520905,0.695 ± 0.044,True
JSU2,5,0.4963296949863434,0.10657087713479996,0.496 ± 0.107,0.5885943174362183,0.03272442892193794,0.589 ± 0.033,0.6737250089645386,0.03182768076658249,0.674 ± 0.032,True
JULI,5,0.21819575130939484,0.04905375465750694,0.218 ± 0.049,0.5724834203720093,0.0887017622590065,0.572 ± 0.089,0.6443754434585571,0.03965799883008003,0.644 ± 0.040,True
KNKO,5,0.056525230407714844,0.018415313214063644,0.057 ± 0.018,0.22671756148338318,0.060895681381225586,0.227 ± 0.061,0.48801136016845703,0.055442653596401215,0.488 ± 0.055,True
NDHU,5,0.2282320261001587,0.010235333815217018,0.228 ± 0.010,0.5002480745315552,0.04131558537483215,0.500 ± 0.041,0.49630647897720337,0.03396504372358322,0.496 ± 0.034,True
SCHN,5,0.31993088126182556,0.025040362030267715,0.320 ± 0.025,0.362847238779068,0.018264276906847954,0.363 ± 0.018,0.3981623649597168,0.012140816077589989,0.398 ± 0.012,True
SHUL,5,0.354917973279953,0.057147808372974396,0.355 ± 0.057,0.4998660683631897,0.01909766159951687,0.500 ± 0.019,0.6144185662269592,0.03835776075720787,0.614 ± 0.038,True
SICH,5,0.3221292495727539,0.020482489839196205,0.322 ± 0.020,0.3651527166366577,0.013612305745482445,0.365 ± 0.014,0.3936178982257843,0.0162931177765131,0.394 ± 0.016,True
SLIN,5,0.4472312033176422,0.03846891596913338,0.447 ± 0.038,0.4973379671573639,0.042803216725587845,0.497 ± 0.043,0.5665806531906128,0.05019480735063553,0.567 ± 0.050,True
SOFN,5,0.20494990050792694,0.02338464744389057,0.205 ± 0.023,0.4325818419456482,0.02830318734049797,0.433 ± 0.028,0.5466229319572449,0.030388671904802322,0.547 ± 0.030,True
SPAO,5,0.23403462767601013,0.028949180617928505,0.234 ± 0.029,0.22972135245800018,0.02850603312253952,0.230 ± 0.029,0.14300993084907532,0.01973745971918106,0.143 ± 0.020,True
TUNM,5,0.1238236054778099,0.011633612215518951,0.124 ± 0.012,0.3707703948020935,0.020870927721261978,0.371 ± 0.021,0.4273492395877838,0.05093583092093468,0.427 ± 0.051,True
WARO,5,0.4474611282348633,0.030712226405739784,0.447 ± 0.031,0.499641478061676,0.03261791914701462,0.500 ± 0.033,0.5614603757858276,0.050306811928749084,0.561 ± 0.050,True
YENL,5,0.14269259572029114,0.017949512228369713,0.143 ± 0.018,0.41637521982192993,0.03233052417635918,0.416 ± 0.032,0.4845002293586731,0.03095061518251896,0.485 ± 0.031,True
YUL1,5,0.21053583920001984,0.03921828418970108,0.211 ± 0.039,0.532733142375946,0.03462030366063118,0.533 ± 0.035,0.6303836107254028,0.03849029541015625,0.630 ± 0.038,True
