center,n_seeds,baseline_p,baseline_p_mean,baseline_a_mean,n_combos,improved,decreased,top1,top2,top3
BLOW,5,0.331 ± 0.023,0.33148127794265747,0.7315068493150685,91,1,90,"(0.33±0.03, 0.74, BLOW_NDHU_TUNM)","(0.33±0.04, 0.73, BLOW_NDHU_SPAO)","(0.33±0.04, 0.73, BLOW_NDHU_YENL)"
CHUN,5,0.559 ± 0.126,0.5591642260551453,0.6495890410958906,0,0,0,,,
DCHU,5,0.382 ± 0.021,0.38227519392967224,0.6416438356164383,0,0,0,,,
DNFU,5,0.469 ± 0.035,0.46880215406417847,0.7093150684931506,0,0,0,,,
FLNM,5,0.472 ± 0.038,0.47199732065200806,0.6967123287671233,120,118,2,"(0.59±0.04, 0.74, FLNM_JSU2)","(0.59±0.04, 0.74, FLNM_YENL)","(0.59±0.05, 0.74, FLNM_DNFU)"
FONB,5,0.443 ± 0.013,0.4425794184207916,0.7643835616438357,0,0,0,,,
FUDN,5,0.376 ± 0.011,0.3760646879673004,0.6394520547945206,0,0,0,,,
HUAL,5,0.449 ± 0.016,0.4486966133117676,0.7605479452054794,120,15,105,"(0.47±0.03, 0.77, HUAL_WARO)","(0.47±0.03, 0.77, HUAL_FLNM)","(0.47±0.02, 0.77, HUAL_NDHU)"
HUAP,5,0.414 ± 0.012,0.4144212305545807,0.6495890410958903,45,0,45,"(0.41±0.02, 0.65, HUAP_HAN2_SUA2)","(0.41±0.02, 0.64, HUAP_HAN2_SPAO)","(0.41±0.02, 0.64, HUAP_GS71_HAN2)"
JPEI,5,0.527 ± 0.024,0.5273115038871765,0.6383561643835616,0,0,0,,,
JPIN,5,0.672 ± 0.058,0.671840488910675,0.6843835616438356,0,0,0,,,
JSU2,5,0.589 ± 0.033,0.5885943174362183,0.6616438356164382,0,0,0,,,
JULI,5,0.572 ± 0.089,0.5724834203720093,0.6698630136986301,0,0,0,,,
KNKO,5,0.227 ± 0.061,0.22671756148338318,0.7567123287671234,0,0,0,,,
NDHU,5,0.500 ± 0.041,0.5002480745315552,0.7336986301369863,120,12,108,"(0.52±0.02, 0.74, NDHU_SLIN)","(0.51±0.02, 0.74, NDHU_HUAN)","(0.51±0.03, 0.74, NDHU_TUNM)"
SCHN,5,0.363 ± 0.018,0.362847238779068,0.7241095890410959,78,2,76,"(0.36±0.01, 0.73, SCHN_NDHU_TUNM)","(0.36±0.03, 0.73, SCHN_NAAO_NDHU)","(0.36±0.02, 0.73, SCHN_SICH_TUNM)"
SHUL,5,0.500 ± 0.019,0.4998660683631897,0.7241095890410959,120,82,38,"(0.59±0.04, 0.75, SHUL_DNFU)","(0.59±0.03, 0.75, SHUL_JSU2)","(0.58±0.05, 0.75, SHUL_NDHU)"
SICH,5,0.365 ± 0.014,0.3651527166366577,0.7227397260273972,78,0,78,"(0.36±0.02, 0.72, SICH_NDHU_TUNM)","(0.36±0.02, 0.72, SICH_SCHN_TUNM)","(0.36±0.02, 0.72, SICH_NAAO_NDHU)"
SLIN,5,0.497 ± 0.043,0.4973379671573639,0.7134246575342467,105,67,38,"(0.60±0.07, 0.74, SLIN_JSU2)","(0.60±0.06, 0.74, SLIN_NDHU)","(0.60±0.06, 0.74, SLIN_DNFU)"
SOFN,5,0.433 ± 0.028,0.4325818419456482,0.7243835616438357,105,34,71,"(0.49±0.04, 0.74, SOFN_WARO)","(0.48±0.02, 0.74, SOFN_DNFU)","(0.48±0.03, 0.74, SOFN_BLOW)"
SPAO,5,0.230 ± 0.029,0.22972135245800018,0.7895890410958903,0,0,0,,,
TUNM,5,0.371 ± 0.021,0.3707703948020935,0.7183561643835616,120,120,0,"(0.44±0.02, 0.75, TUNM_DNFU)","(0.43±0.03, 0.75, TUNM_FLNM_NDHU)","(0.43±0.01, 0.75, TUNM_WARO)"
WARO,5,0.500 ± 0.033,0.499641478061676,0.7145205479452055,105,58,47,"(0.60±0.07, 0.75, WARO_DNFU)","(0.60±0.06, 0.75, WARO_NDHU)","(0.60±0.07, 0.75, WARO_SLIN)"
YENL,5,0.416 ± 0.032,0.41637521982192993,0.7276712328767123,105,35,70,"(0.46±0.02, 0.74, YENL_DNFU_FONB)","(0.45±0.02, 0.74, YENL_BLOW_FONB)","(0.45±0.02, 0.73, YENL_FONB)"
YUL1,5,0.533 ± 0.035,0.532733142375946,0.6693150684931506,0,0,0,,,
