input,tau,seed,auc
gnss,1,0,0.7567545597723924
gnss,1,1,0.7740486714423616
gnss,1,2,0.8174058832495047
gnss,1,3,0.7404054260021339
gnss,1,4,0.7663567545597724
gnss,90,0,0.9883656173499756
gnss,90,1,0.994699793357415
gnss,90,2,0.990838503600402
gnss,90,3,0.9930432739124536
gnss,90,4,0.9922821272234503
gnss,180,0,0.9949598331915361
gnss,180,1,0.995203931895833
gnss,180,2,0.9929430331244037
gnss,180,3,0.9953227335828169
gnss,180,4,0.9953010475605898
gnss,365,0,0.9996149676268834
gnss,365,1,0.998454616654489
gnss,365,2,0.9987083965202981
gnss,365,3,0.9992809726833417
gnss,365,4,0.9990220327832924
gnss,730,0,0.9999418974847772
gnss,730,1,0.9999313333911005
gnss,730,2,0.9998777583445965
gnss,730,3,0.9998567559202627
gnss,730,4,0.9998830403914348
stats,1,0,0.708133922674389
stats,1,1,0.8338363054412438
stats,1,2,0.7579738860945995
stats,1,3,0.7626784534877814
stats,1,4,0.7391657775745567
stats,90,0,0.9960715551850681
stats,90,1,0.9961066876183724
stats,90,2,0.9955869293227896
stats,90,3,0.9962098996473142
stats,90,4,0.9962248603485776
stats,180,0,0.996602627947793
stats,180,1,0.9949683190263208
stats,180,2,0.9956881482955153
stats,180,3,0.9972040745835734
stats,180,4,0.9914815314186985
stats,365,0,0.9987214373341049
stats,365,1,0.9979786738599421
stats,365,2,0.9983632371390369
stats,365,3,0.9984027348556748
stats,365,4,0.9956519675116738
stats,730,0,0.998772427162146
stats,730,1,0.997398088879996
stats,730,2,0.9945758409490179
stats,730,3,0.9980974570340075
stats,730,4,0.990987821989488
all,1,0,0.7539297871259464
all,1,1,0.723324696438551
all,1,2,0.7490829649951735
all,1,3,0.7364019712442209
all,1,4,0.750403901844231
all,90,0,0.9953102403982975
all,90,1,0.996980123615736
all,90,2,0.9954423652431642
all,90,3,0.997732193025321
all,90,4,0.9942915679302409
all,180,0,0.996866317406469
all,180,1,0.9941361834004708
all,180,2,0.9944231303322603
all,180,3,0.9974744688993632
all,180,4,0.9957614826701968
all,365,0,0.9987800740868334
all,365,1,0.9986475081162648
all,365,2,0.9985189763542839
all,365,3,0.9988985672367472
all,365,4,0.9982628510183655
all,730,0,0.999121671068582
all,730,1,0.9985241709607402
all,730,2,0.9993372288847977
all,730,3,0.9992952240361302
all,730,4,0.9992859175726531
